symbol,24h_volume,5h_change,relative_volume,volatility
HEMI/USDT,10298772.845957,1.6877637130801704,0.3263489896988266,1.6696238256116631
PLUME/USDT,36307313.26562,1.4527845036319542,0.7362231732478373,0.28896614638618834
GPS/USDT,33931614.131228,1.2445550715619147,0.14869142876900468,1.6218095348003603
ACE/USDT,37694275.60268,1.1474469305794655,0.23594712482387045,1.5076840185917073
XPL/USDT,21171609.109292,0.4181913225300482,8.435853278782808,0.18414206793761193
BTC/USDT,829947049.7652414,0.36981391031438715,0.4889412965696108,0.11213725506131947
FET/USDT,10273979.79809,0.32467532467532756,0.5714553400858482,0.20852993652025853
ADA/USDT,15203767.76659,0.172215843857626,0.20093693491352307,0.19771326086387
ETH/USDT,334980957.956679,0.16581485407243246,0.22138544590826312,0.10614145533637943
TRX/USDT,27074892.65794,0.12102874432677879,0.18476407647303217,0.10407097515702994
ZEC/USDT,59094552.28521,0.09795854394420989,0.8874472406149473,0.14754950839596664
WLD/USDT,16199527.36924,0.08460236886631556,0.0724741562297124,0.2787177474117404
DOGE/USDT,19781017.6114,0.02842524161454918,0.30241793013118123,0.07862683345504676
BFUSD/USDT,24375703.3124,0.0,0.011828720132481665,0.005203675298323372
USD1/USDT,88877060.5224,0.0,0.397594293661289,0.0024330034790106606
SOL/USDT,100038337.89442,0.0,0.6186761204842081,0.10328381381114293
RLUSD/USDT,41398390.9046,0.0,1.0762455127820978,0.007886456474068078
USDC/USDT,1490621540.73576,-0.0049959033592505975,0.7842132052344067,0.002149248379562545
U/USDT,18310510.2261,-0.009995002498752736,0.7310558397031788,0.007068063926737573
XRP/USDT,52378464.21232,-0.049895220037909915,0.6005836513169308,0.09660306421625156
EUR/USDT,12776653.35073,-0.08622176237281787,0.6045331319231594,0.014478248482088516
EURI/USDT,13426909.67392,-0.1034571945857321,0.57405742568897,0.017774790542989655
BNB/USDT,51676893.91942,-0.13179354541110744,0.450486699674229,0.07059983052424838
LINK/USDT,14589084.45733,-0.21003990758243773,0.6704344479585514,0.18528743099006686
PAXG/USDT,14481864.901308,-0.2251768033946222,0.060701900703282616,0.06728867778126149
XAUT/USDT,34772330.171376,-0.23356318917029384,0.5205526348727062,0.06171236781375909
SPCXB/USDT,24818982.99195,-0.2360240070132802,0.26210504856015593,0.37553060328745713
SNDKB/USDT,41424499.462,-0.9263048455421252,0.5843199916528105,0.44601984966039915
MUB/USDT,11299063.03617,-1.0776864630175131,0.15124175264122097,0.2736448239884919
NEAR/USDT,12261842.4937,-1.1649294911097452,1.4617542244590527,0.20270359283264702
SKHYB/USDT,15654353.45941,-1.2886162849586547,0.23665977363748575,0.3576794706059
ALLO/USDT,22473114.97195,-1.3394430736693774,0.6416878266593433,0.46608806338852055
PUMP/USDT,13975002.972148,-1.4904679376083196,1.9120946667475684,0.3037098662459231
PORTAL/USDT,27133246.592694,-1.5883100381194448,1.2643952803028118,0.739065792300539
TUT/USDT,48041416.92117,-18.47031556427171,0.8121656090961668,2.9320242496766333
